fecha;trimestre;anio;organizacion;ambito;derecho;accion
6/21/2017;2;2017;Lideres Profesionales - Sede Central;Civil;A una familia y comunidad;Definicion de ruta a seguir
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la integridad personal;Acompanamiento a instancias administrativas
6/27/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
6/27/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
6/26/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Llamada telefonica
6/26/2017;2;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Llamada telefonica
6/29/2017;2;2017;Lideres Profesionales - Sede Central;Penal;A la justicia;Definicion de ruta a seguir
7/4/2017;3;2017;Lideres Profesionales - Sede Central;Administrativo;A la identidad;Definicion de ruta a seguir
7/5/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Procuracion
0000-00-00;1;0;Lideres Profesionales - Sede Central;Administrativo;A la informacion;Elaboracion de documentacion
8/1/2017;3;2017;Lideres Profesionales - Sede Central;Administrativo;A la informacion;Elaboracion de documentacion
8/1/2018;3;2018;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Llamada telefonica
8/1/2017;3;2017;Lideres Profesionales - Sede Central;Penal;A la no discriminacion;Acompanamiento a instancias administrativas
1/8/2017;1;2017;Lideres Profesionales - Sede Central;Laboral;Al trabajo;Acompanamiento a instancias administrativas
