idTipoEstablecimiento;anio;trimestre;poblacion;vihR_reactivas;vihR_noreactivas;vihC_positivas;vihC_negativas;siR_reactivas;siR_noreactivas;siC_positivas;siC_negativas
22;2016;1;PV;0;1535;NULL;NULL;0;1535;NULL;NULL
24;2016;1;PV;6;839;NULL;NULL;0;839;NULL;NULL
39;2016;4;MTS;0;3;NULL;NULL;0;0;NULL;NULL
44;2016;4;MTS;0;0;NULL;NULL;0;0;NULL;NULL
10;2016;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
21;2016;1;PV;0;361;NULL;NULL;0;0;NULL;NULL
25;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
25;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
40;2016;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
41;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
19;2016;1;PV;6;340;NULL;NULL;1;273;NULL;NULL
29;2015;4;PV;0;0;NULL;NULL;0;0;NULL;NULL
29;2015;4;PV;24;995;NULL;NULL;0;0;NULL;NULL
29;2016;1;PV;0;0;NULL;NULL;0;0;NULL;NULL
29;2016;1;PV;13;1123;NULL;NULL;0;0;NULL;NULL
2;2016;1;MTS;0;20;NULL;NULL;0;18;NULL;NULL
33;2016;1;MTS;1;51;NULL;NULL;0;52;NULL;NULL
1;2016;1;MTS;0;91;NULL;NULL;0;0;NULL;NULL
40;2016;1;MTS;0;29;NULL;NULL;0;29;NULL;NULL
45;2016;1;MTS;0;23;NULL;NULL;0;23;NULL;NULL
39;2016;1;MTS;0;0;NULL;NULL;0;0;NULL;NULL
1;2016;1;MTS;0;0;NULL;NULL;0;0;NULL;NULL
17;2016;1;MTS;1;766;NULL;NULL;5;505;NULL;NULL
7;2016;1;MTS;3;36;NULL;NULL;1;38;NULL;NULL
2;2016;1;MTS;0;21;NULL;NULL;0;21;NULL;NULL
44;2016;1;MTS;0;10;NULL;NULL;0;0;NULL;NULL
33;2016;2;MTS;0;38;NULL;NULL;0;38;NULL;NULL
7;2016;2;MTS;1;202;NULL;NULL;1;38;NULL;NULL
40;2015;4;MTS;0;42;NULL;NULL;0;42;NULL;NULL
26;2016;1;PV;5;1218;NULL;NULL;5;1155;NULL;NULL
37;2016;1;HSH;41;42;NULL;NULL;45;46;NULL;NULL
37;2016;1;HSH;21;22;NULL;NULL;0;0;NULL;NULL
37;2016;1;HSH;0;0;NULL;NULL;0;0;NULL;NULL
